,Avg_Precision,Avg_Recall,Avg_ROC_AUC,Avg_Gmean,resample_algo,model_algo,file_name,Avg_f1_score,dataset_name
4,0.2363095238095238,0.21,0.7134,0.3789817624820824,smote_msfb1,knn_jaccard,target,0.11118965057348626,polarity
3,1.0,0.09,0.86616,0.2939157588755424,smote_msfb1,logistic_regression,target,0.08256880733944955,polarity
5,0.4166666666666666,0.03,0.6358600000000001,0.1205691150575094,smote_msfb1,naive_bayes,target,0.027985074626865673,polarity
2,0.475,0.09,0.71136,0.2923477470959796,smoten,knn_jaccard,target,0.0756637168141593,polarity
1,0.4,0.08,0.76524,0.2356536212809374,smoten,logistic_regression,target,0.06666666666666667,polarity
0,0.1186868686868686,0.05,0.4716599999999999,0.1833889239772221,smoten,naive_bayes,target,0.03517964071856287,polarity
